name,location,price,area,bhk
LML Arshiya,"2 BHK Flat in Kattupakkam, Chennai",₹73 Lac,"1,047 sqft",2 BHK
"Urbanrise Codename New Porur
3.8","3 BHK Flat in Thirumazhisai, Chennai",₹70 Lac,"1,065 sqft",3 BHK
"Urbanrise Codename New Porur
3.8","2 BHK Flat in Thirumazhisai, Chennai",₹64 Lac,984 sqft,2 BHK
spr sky tower,"3 BHK Flat in Perambur, Chennai",₹1.85 Cr,"1,495 sqft",3 BHK
vgk sai hardik,"3 BHK Flat in Tambaram, Chennai",₹1.16 Cr,"1,417 sqft",3 BHK
"Kundrathur, Chennai, Chennai South","3 Bedroom House in Kundrathur, Chennai",₹1.05 Cr,760 sqft,3 BHK
SPR Highliving District,"4 BHK Flat in Perambur, Chennai",₹3.57 Cr,"2,596 sqft",4 BHK
Rainbow Chetna,"2 BHK Flat in Perambur, Chennai",₹96 Lac,"1,040 sqft",2 BHK
"Sendurpuram, Kattupakkam, Chennai West","3 Bedroom House in Sendurpuram, Kattupakkam",₹1.85 Cr,"1,200 sqft",3 BHK
on request,"3 BHK Flat in Kathirvedu, Puzhal",₹82 Lac,"1,140 sqft",3 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.35 Cr,"1,200 sqft",3 BHK
"Navins Hanging Gardens
3.8","2 BHK Flat in Valasaravakkam, Chennai",₹1.6 Cr,974 sqft,2 BHK
Hiranandani Greenwood,"3 BHK Flat in Egattur, OMR",₹2.85 Cr,"2,330 sqft",3 BHK
"Maduravoyal, Chennai, Chennai West","6 Bedroom House in Maduravoyal, Chennai",₹4.75 Cr,"6,400 sqft",6 BHK
New Flat,"2 BHK Flat in Valasaravakkam, Chennai",₹1.72 Cr,"1,300 sqft",2 BHK
New Flat,"2 BHK Flat in Valasaravakkam, Chennai",₹1.72 Cr,"1,301 sqft",2 BHK
SPR Highliving District,"4 BHK Flat in Perambur, Chennai",₹1.85 Cr,"2,308 sqft",4 BHK
Rainbow Chetna,"2 BHK Flat in Perambur, Chennai",₹98 Lac,"1,040 sqft",2 BHK
nutech central park,"2 BHK Flat in Iyyappanthangal, Chennai",₹78 Lac,"1,110 sqft",2 BHK
"Urbanrise Codename New Porur
3.8","1 BHK Flat in Thirumazhisai, Chennai",₹41 Lac,633 sqft,1 BHK
"Urbanrise Codename New Porur
3.8","2 BHK Flat in Thirumazhisai, Chennai",₹54.5 Lac,849 sqft,2 BHK
"Shriram Park 63
3.8","3 BHK Flat in Perungalathur, Chennai",₹1.55 Cr,"1,535 sqft",3 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.32 Cr,"1,250 sqft",3 BHK
sri sai kandha,"3 BHK Flat in Thirumalai Nagar, Sembakkam, Chennai",₹87.04 Lac,"1,280 sqft",3 BHK
Pacifica Pride Towers,"2 BHK Flat in Padur, Chennai",₹85 Lac,"1,358 sqft",2 BHK
Godrej Azure,"2 BHK Flat in Padur, Chennai",₹85 Lac,"1,050 sqft",2 BHK
"Mangadu, Chennai, Chennai West","3 Bedroom House in Mangadu, Chennai",₹1.3 Cr,800 sqft,3 BHK
SIS Florence,"2 BHK Flat in Porur, Chennai",₹1.05 Cr,"1,162 sqft",2 BHK
Marutham Neptune,"2 BHK Flat in Koyambedu, Chennai",₹1.18 Cr,"1,025 sqft",2 BHK
"Navins Starwood Towers 2
3.7","2 BHK Flat in Medavakkam, Chennai",₹85 Lac,"1,234 sqft",2 BHK
Navins Cedar at Starwood Towers,"3 BHK Flat in Medavakkam, Chennai",₹1.52 Cr,"1,908 sqft",3 BHK
SIS Florence,"2 BHK Flat in Porur, Chennai",₹99 Lac,"1,090 sqft",2 BHK
